ST    WMF    T_eq          M_p       Age       R_b  R_20mbar  R_1mibar       T_b     T_int           s_env          I/MR^2        L_env         L_rad        L_core        L_grav        u_tot
M   0.0010   400.0   0.20000000    0.0010   0.64893   1.18359   1.31647   6563.86    933.21   1.6520000e+04   3.1804000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -6.89738e+30
M   0.0010   400.0   0.20000000    0.0015   0.62547   0.83241   0.89559   2923.55    220.05   1.3000035e+04   3.2306500e-01  3.97628e+14   5.39024e+13   2.41633e+16   2.39811e+15  -1.27605e+31
M   0.0010   400.0   0.20000000    0.0020   0.62442   0.81833   0.88071   2694.93    177.91   1.2647229e+04   3.2329000e-01  1.68233e+14   5.38880e+13   1.02233e+16   1.01462e+15  -1.30219e+31
M   0.0010   400.0   0.20000000    0.0030   0.62351   0.80755   0.86968   2491.02    145.49   1.2310157e+04   3.2349000e-01  7.47019e+13   5.38594e+13   4.53954e+15   4.50531e+14  -1.32504e+31
M   0.0010   400.0   0.20000000    0.0050   0.62270   0.79838   0.86030   2319.24    118.43   1.2008472e+04   3.2366000e-01  3.22572e+13   5.38018e+13   1.96023e+15   1.94544e+14  -1.34516e+31
M   0.0010   400.0   0.20000000    0.0100   0.62188   0.78735   0.84909   2142.02     95.43   1.1678779e+04   3.2383625e-01  1.31054e+13   5.36586e+13   7.96400e+14   7.90395e+13  -1.36578e+31
M   0.0010   400.0   0.20000000    0.0200   0.62119   0.77572   0.83733   1996.11     78.55   1.1391983e+04   3.2398476e-01  5.57898e+12   5.33750e+13   3.39027e+14   3.36471e+13  -1.38298e+31
M   0.0010   400.0   0.20000000    0.0300   0.62082   0.76974   0.83128   1926.14     71.17   1.1249117e+04   3.2406090e-01  3.50479e+12   5.30923e+13   2.12982e+14   2.11376e+13  -1.39213e+31
M   0.0010   400.0   0.20000000    0.0500   0.62042   0.76214   0.82360   1830.97     61.89   1.1048780e+04   3.2415000e-01  1.67379e+12   5.25289e+13   1.01714e+14   1.00947e+13  -1.40218e+31
M   0.0010   400.0   0.20000000    0.1000   0.62000   0.75541   0.81679   1740.64     53.91   1.0851708e+04   3.2424039e-01  6.53194e+11   5.11673e+13   3.96938e+13   3.93944e+12  -1.41275e+31
M   0.0010   400.0   0.20000000    0.2000   0.61969   0.75103   0.81236   1678.89     48.80   1.0712768e+04   3.2430919e-01  2.26146e+11   4.85835e+13   1.37426e+13   1.36389e+12  -1.42043e+31
M   0.0010   400.0   0.20000000    0.5000   0.61942   0.74774   0.80902   1626.82     44.95   1.0592739e+04   3.2436181e-01  6.37878e+10   4.16673e+13   3.87630e+12   3.84707e+11  -1.42717e+31
M   0.0010   400.0   0.20000000    1.0000   0.61921   0.74521   0.80645   1586.89     41.99   1.0498785e+04   3.2441000e-01  4.55798e+10   3.19466e+13   2.76983e+12   2.74894e+11  -1.43245e+31
M   0.0010   400.0   0.20000000    2.0000   0.61883   0.74128   0.80245   1515.16     37.31   1.0325514e+04   3.2449000e-01  4.67657e+10   1.85890e+13   2.84189e+12   2.82046e+11  -1.44205e+31
M   0.0010   400.0   0.20000000    5.0000   0.61780   0.73318   0.79416   1332.28     27.28   9.8521183e+03   3.2471000e-01  3.69941e+10   3.68130e+12   2.24808e+12   2.23113e+11  -1.46763e+31
M   0.0010   400.0   0.20000000   10.0000   0.61667   0.72713   0.78790   1143.86     18.88   9.2941945e+03   3.2495000e-01  1.72588e+10   2.49359e+11   1.04880e+12   1.04089e+11  -1.49589e+31
M   0.0010   400.0   0.20000000   20.0000   0.61592   0.72439   0.78502   1016.34     13.09   8.8411312e+03   3.2511000e-01  4.79899e+09   1.20411e+09   2.91629e+11   2.89429e+10  -1.51449e+31
M   0.0010   400.0   0.20000000  6.62e+01   0.61382   0.72228   0.78291    730.49      0.00   7.1770584e+03   3.2511000e-01  0.00000e+00   6.34059e+08   0.00000e+00   0.00000e+00  -1.51454e+31

M   0.0010   400.0   0.25485500    0.0010   0.69379   1.17986   1.30214   6563.86    981.45   1.6520000e+04   3.1372000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -1.25683e+31
M   0.0010   400.0   0.25485500    0.0015   0.67125   0.86152   0.91916   2954.34    233.56   1.3045636e+04   3.2076000e-01  5.70103e+14   6.86866e+13   3.56474e+16   3.16196e+15  -1.98737e+31
M   0.0010   400.0   0.25485500    0.0020   0.67008   0.84755   0.90413   2732.15    188.33   1.2706419e+04   3.2112667e-01  2.38813e+14   6.86682e+13   1.49325e+16   1.32453e+15  -2.02521e+31
M   0.0010   400.0   0.25485500    0.0030   0.66905   0.83718   0.89351   2523.00    154.59   1.2364470e+04   3.2144600e-01  1.07719e+14   6.86317e+13   6.73545e+15   5.97441e+14  -2.05867e+31
M   0.0010   400.0   0.25485500    0.0050   0.66813   0.82847   0.88458   2348.05    126.36   1.2060246e+04   3.2173500e-01  4.74931e+13   6.85588e+13   2.96965e+15   2.63411e+14  -2.08844e+31
M   0.0010   400.0   0.25485500    0.0100   0.66720   0.81864   0.87457   2167.43    101.06   1.1727267e+04   3.2202484e-01  1.87685e+13   6.83769e+13   1.17356e+15   1.04096e+14  -2.11840e+31
M   0.0010   400.0   0.25485500    0.0200   0.66644   0.80787   0.86366   2013.39     82.53   1.1426717e+04   3.2226433e-01  7.78297e+12   6.80135e+13   4.86654e+14   4.31667e+13  -2.14328e+31
M   0.0010   400.0   0.25485500    0.0300   0.66603   0.80225   0.85796   1941.26     74.65   1.1280301e+04   3.2239323e-01  4.88226e+12   6.76538e+13   3.05278e+14   2.70785e+13  -2.15620e+31
M   0.0010   400.0   0.25485500    0.0500   0.66557   0.79544   0.85108   1850.14     65.38   1.1089718e+04   3.2253354e-01  2.47428e+12   6.69345e+13   1.54712e+14   1.37231e+13  -2.17104e+31
M   0.0010   400.0   0.25485500    0.1000   0.66509   0.78895   0.84451   1757.96     56.81   1.0890036e+04   3.2268515e-01  1.01451e+12   6.52091e+13   6.34352e+13   5.62677e+12  -2.18679e+31
M   0.0010   400.0   0.25485500    0.2000   0.66468   0.78466   0.84015   1695.10     51.36   1.0749586e+04   3.2281490e-01  4.12615e+11   6.18924e+13   2.58000e+13   2.28849e+12  -2.20025e+31
M   0.0010   400.0   0.25485500    0.5000   0.66434   0.78067   0.83609   1626.96     46.10   1.0593062e+04   3.2292150e-01  7.93288e+10   5.30176e+13   4.96027e+12   4.39982e+11  -2.21122e+31
M   0.0010   400.0   0.25485500    1.0000   0.66415   0.77834   0.83374   1585.14     42.98   1.0494623e+04   3.2298000e-01  5.10133e+10   4.06956e+13   3.18976e+12   2.82935e+11  -2.21737e+31
M   0.0010   400.0   0.25485500    2.0000   0.66379   0.77490   0.83022   1518.50     38.40   1.0333702e+04   3.2308927e-01  6.29185e+10   2.37195e+13   3.93417e+12   3.48965e+11  -2.22869e+31
M   0.0010   400.0   0.25485500    5.0000   0.66266   0.76732   0.82245   1337.80     28.13   9.8671732e+03   3.2344101e-01  4.86777e+10   4.68931e+12   3.04372e+12   2.69981e+11  -2.26552e+31
M   0.0010   400.0   0.25485500   10.0000   0.66150   0.76165   0.81658   1151.14     19.73   9.3177027e+03   3.2381000e-01  2.35618e+10   3.18397e+11   1.47327e+12   1.30681e+11  -2.30321e+31
M   0.0010   400.0   0.25485500   20.0000   0.66069   0.75910   0.81389   1028.05     13.76   8.8868058e+03   3.2406000e-01  6.64572e+09   1.54491e+09   4.15544e+11   3.68592e+10  -2.32927e+31
M   0.0010   400.0   0.25485500  5.84e+01   0.65834   0.75674   0.81153    745.82      0.00   7.2902893e+03   3.2406000e-01  0.00000e+00   8.07966e+08   0.00000e+00   0.00000e+00  -2.32944e+31

M   0.0010   400.0   0.32475535    0.0010   0.74331   1.18446   1.29556   6563.86   1003.65   1.6520000e+04   3.1141000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -2.14321e+31
M   0.0010   400.0   0.32475535    0.0015   0.72012   0.89261   0.94456   2981.05    246.24   1.3084852e+04   3.1926000e-01  7.77291e+14   8.75255e+13   5.06380e+16   4.55269e+15  -3.09610e+31
M   0.0010   400.0   0.32475535    0.0020   0.71881   0.87879   0.92953   2759.11    197.40   1.2748864e+04   3.1970000e-01  3.18226e+14   8.75022e+13   2.07314e+16   1.86389e+15  -3.14970e+31
M   0.0010   400.0   0.32475535    0.0030   0.71768   0.86891   0.91940   2543.58    162.11   1.2399156e+04   3.2007800e-01  1.43867e+14   8.74556e+13   9.37246e+15   8.42645e+14  -3.19626e+31
M   0.0010   400.0   0.32475535    0.0050   0.71667   0.86059   0.91086   2363.13    132.56   1.2087150e+04   3.2042273e-01  6.35808e+13   8.73626e+13   4.14208e+15   3.72400e+14  -3.23781e+31
M   0.0010   400.0   0.32475535    0.0100   0.71566   0.85124   0.90133   2170.42    104.14   1.1732944e+04   3.2077000e-01  2.33764e+13   8.71303e+13   1.52290e+15   1.36919e+14  -3.27920e+31
M   0.0010   400.0   0.32475535    0.0200   0.71484   0.84251   0.89246   2028.83     86.50   1.1457586e+04   3.2104737e-01  1.04661e+13   8.66677e+13   6.81830e+14   6.13010e+13  -3.31304e+31
M   0.0010   400.0   0.32475535    0.0300   0.71439   0.83712   0.88700   1953.04     77.85   1.1304472e+04   3.2119184e-01  6.45152e+12   8.62093e+13   4.20296e+14   3.77873e+13  -3.33101e+31
M   0.0010   400.0   0.32475535    0.0500   0.71389   0.83126   0.88105   1868.90     68.90   1.1129486e+04   3.2136776e-01  3.49919e+12   8.52954e+13   2.27961e+14   2.04952e+13  -3.35189e+31
M   0.0010   400.0   0.32475535    0.1000   0.71331   0.82460   0.87430   1765.76     58.92   1.0907225e+04   3.2155939e-01  1.34549e+12   8.30713e+13   8.76540e+13   7.88067e+12  -3.37549e+31
M   0.0010   400.0   0.32475535    0.2000   0.71289   0.82017   0.86980   1691.22     52.40   1.0740783e+04   3.2170309e-01  4.69304e+11   7.88464e+13   3.05736e+13   2.74877e+12  -3.39277e+31
M   0.0010   400.0   0.32475535    0.5000   0.71255   0.81692   0.86650   1631.94     47.62   1.0604659e+04   3.2182057e-01  1.25603e+11   6.75734e+13   8.18260e+12   7.35669e+11  -3.40702e+31
M   0.0010   400.0   0.32475535    1.0000   0.71229   0.81472   0.86426   1588.97     44.40   1.0503720e+04   3.2190616e-01  8.41668e+10   5.18417e+13   5.48319e+12   4.92975e+11  -3.41766e+31
M   0.0010   400.0   0.32475535    2.0000   0.71186   0.81132   0.86078   1520.05     39.38   1.0337506e+04   3.2204559e-01  7.64268e+10   3.02215e+13   4.97895e+12   4.47641e+11  -3.43512e+31
M   0.0010   400.0   0.32475535    5.0000   0.71072   0.80449   0.85377   1341.68     28.94   9.8777760e+03   3.2244000e-01  6.07221e+10   5.98565e+12   3.95585e+12   3.55656e+11  -3.48205e+31
M   0.0010   400.0   0.32475535   10.0000   0.70945   0.79946   0.84859   1161.02     20.72   9.3493027e+03   3.2286000e-01  3.21299e+10   4.07382e+11   2.09316e+12   1.88189e+11  -3.53401e+31
M   0.0010   400.0   0.32475535   20.0000   0.70857   0.79691   0.84593   1035.49     14.32   8.9153209e+03   3.2316492e-01  8.59061e+09   1.97309e+09   5.59650e+11   5.03162e+10  -3.57057e+31
M   0.0010   400.0   0.32475535  5.47e+01   0.70601   0.79434   0.84335    761.12      0.00   7.4033953e+03   3.2317000e-01  0.00000e+00   1.02957e+09   0.00000e+00   0.00000e+00  -3.57094e+31

M   0.0010   400.0   0.41382762    0.0010   0.79641   1.19276   1.29268   6563.86   1026.33   1.6520000e+04   3.0984000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -3.55554e+31
M   0.0010   400.0   0.41382762    0.0015   0.77256   0.93057   0.97774   3017.15    260.92   1.3137322e+04   3.1816000e-01  1.07237e+15   1.11532e+14   7.34640e+16   6.63750e+15  -4.79261e+31
M   0.0010   400.0   0.41382762    0.0020   0.77104   0.91699   0.96300   2783.66    208.43   1.2787187e+04   3.1869000e-01  4.34959e+14   1.11502e+14   2.97974e+16   2.69221e+15  -4.87127e+31
M   0.0010   400.0   0.41382762    0.0030   0.76978   0.90715   0.95280   2564.37    169.80   1.2433938e+04   3.1913000e-01  1.89522e+14   1.11442e+14   1.29835e+16   1.17306e+15  -4.93630e+31
M   0.0010   400.0   0.41382762    0.0050   0.76868   0.89915   0.94462   2375.52    138.41   1.2109158e+04   3.1951455e-01  8.27687e+13   1.11324e+14   5.67018e+15   5.12303e+14  -4.99347e+31
M   0.0010   400.0   0.41382762    0.0100   0.76757   0.89119   0.93650   2193.87    110.00   1.1777276e+04   3.1990231e-01  3.20292e+13   1.11028e+14   2.19420e+15   1.98247e+14  -5.05117e+31
M   0.0010   400.0   0.41382762    0.0200   0.76665   0.88332   0.92851   2045.50     90.69   1.1490698e+04   3.2022705e-01  1.39838e+13   1.10440e+14   9.57981e+14   8.65539e+13  -5.09886e+31
M   0.0010   400.0   0.41382762    0.0300   0.76618   0.87758   0.92272   1955.37     80.06   1.1309244e+04   3.2038762e-01  7.91521e+12   1.09851e+14   5.42242e+14   4.89917e+13  -5.12321e+31
M   0.0010   400.0   0.41382762    0.0500   0.76565   0.87246   0.91753   1875.15     71.33   1.1142668e+04   3.2057186e-01  4.45735e+12   1.08697e+14   3.05357e+14   2.75891e+13  -5.15058e+31
M   0.0010   400.0   0.41382762    0.1000   0.76501   0.86672   0.91171   1780.50     61.85   1.0939535e+04   3.2079982e-01  1.92644e+12   1.05862e+14   1.31973e+14   1.19238e+13  -5.18412e+31
M   0.0010   400.0   0.41382762    0.2000   0.76450   0.86225   0.90719   1699.67     54.53   1.0759912e+04   3.2097530e-01  6.78744e+11   1.00441e+14   4.64983e+13   4.20113e+12  -5.21039e+31
M   0.0010   400.0   0.41382762    0.5000   0.76410   0.85888   0.90376   1634.72     48.99   1.0611120e+04   3.2111448e-01  1.65572e+11   8.60901e+13   1.13427e+13   1.02482e+12  -5.23138e+31
M   0.0010   400.0   0.41382762    1.0000   0.76381   0.85684   0.90170   1590.55     45.65   1.0507464e+04   3.2121260e-01  1.10544e+11   6.60375e+13   7.57294e+12   6.84217e+11  -5.24617e+31
M   0.0010   400.0   0.41382762    2.0000   0.76335   0.85364   0.89843   1521.12     40.42   1.0340120e+04   3.2137306e-01  9.45176e+10   3.85548e+13   6.47505e+12   5.85023e+11  -5.27004e+31
M   0.0010   400.0   0.41382762    5.0000   0.76214   0.84726   0.89192   1345.10     29.72   9.8870696e+03   3.2180087e-01  7.42486e+10   7.63649e+12   5.08650e+12   4.59567e+11  -5.33278e+31
M   0.0010   400.0   0.41382762   10.0000   0.76080   0.84266   0.88715   1167.57     21.52   9.3700598e+03   3.2226000e-01  4.12371e+10   5.19513e+11   2.82500e+12   2.55240e+11  -5.40197e+31
M   0.0010   400.0   0.41382762   20.0000   0.75983   0.84004   0.88442   1042.45     14.88   8.9416033e+03   3.2260550e-01  1.09897e+10   2.51884e+09   7.52864e+11   6.80215e+10  -5.45236e+31
M   0.0010   400.0   0.41382762  5.29e+01   0.75705   0.83725   0.88163    776.19      0.00   7.5141686e+03   3.2261000e-01  0.00000e+00   1.31196e+09   0.00000e+00   0.00000e+00  -5.45281e+31

M   0.0010   400.0   0.52733018    0.0010   0.85339   1.21467   1.30608   6563.86   1051.93   1.6520000e+04   3.0837000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -5.77960e+31
M   0.0010   400.0   0.52733018    0.0015   0.82855   0.97171   1.01428   3035.41    271.61   1.3163636e+04   3.1742000e-01  1.37925e+15   1.42122e+14   9.90427e+16   9.16720e+15  -7.39762e+31
M   0.0010   400.0   0.52733018    0.0020   0.82693   0.95894   1.00043   2796.04    217.69   1.2806394e+04   3.1800500e-01  5.66992e+14   1.42084e+14   4.07152e+16   3.76851e+15  -7.50290e+31
M   0.0010   400.0   0.52733018    0.0030   0.82557   0.94938   0.99041   2581.21    177.03   1.2461961e+04   3.1850500e-01  2.45414e+14   1.42008e+14   1.76229e+16   1.63115e+15  -7.59185e+31
M   0.0010   400.0   0.52733018    0.0050   0.82437   0.94179   0.98264   2389.22    144.64   1.2133412e+04   3.1893909e-01  1.08269e+14   1.41857e+14   7.77471e+15   7.19611e+14  -7.67003e+31
M   0.0010   400.0   0.52733018    0.0100   0.82315   0.93455   0.97523   2211.14    115.42   1.1809688e+04   3.1937968e-01  4.26932e+13   1.41482e+14   3.06576e+15   2.83761e+14  -7.74939e+31
M   0.0010   400.0   0.52733018    0.0200   0.82214   0.92736   0.96792   2058.11     94.73   1.1515636e+04   3.1975371e-01  1.83560e+13   1.40733e+14   1.31812e+15   1.22003e+14  -7.81560e+31
M   0.0010   400.0   0.52733018    0.0300   0.82159   0.92233   0.96283   1968.73     83.79   1.1336513e+04   3.1995355e-01  1.05442e+13   1.39972e+14   7.57168e+14   7.00819e+13  -7.85071e+31
M   0.0010   400.0   0.52733018    0.0500   0.82104   0.91715   0.95759   1879.03     73.65   1.1150841e+04   3.2014860e-01  5.59485e+12   1.38510e+14   4.01761e+14   3.71862e+13  -7.88668e+31
M   0.0010   400.0   0.52733018    0.1000   0.82036   0.91192   0.95228   1785.44     63.98   1.0950320e+04   3.2039997e-01  2.47392e+12   1.34897e+14   1.77650e+14   1.64429e+13  -7.93122e+31
M   0.0010   400.0   0.52733018    0.2000   0.81979   0.90792   0.94822   1708.94     56.76   1.0780818e+04   3.2060590e-01  9.67518e+11   1.27992e+14   6.94765e+13   6.43061e+12  -7.96810e+31
M   0.0010   400.0   0.52733018    0.5000   0.81927   0.90449   0.94473   1639.48     50.61   1.0622177e+04   3.2079407e-01  2.49028e+11   1.09639e+14   1.78825e+13   1.65517e+12  -8.00184e+31
M   0.0010   400.0   0.52733018    1.0000   0.81895   0.90249   0.94270   1592.58     46.97   1.0512268e+04   3.2091803e-01  1.46238e+11   8.41040e+13   1.05012e+13   9.71968e+11  -8.02322e+31
M   0.0010   400.0   0.52733018    2.0000   0.81845   0.89954   0.93969   1521.73     41.59   1.0341613e+04   3.2110162e-01  1.22606e+11   4.91137e+13   8.80422e+12   8.14902e+11  -8.05589e+31
M   0.0010   400.0   0.52733018    5.0000   0.81716   0.89362   0.93363   1347.19     30.61   9.8927356e+03   3.2156515e-01  9.40399e+10   9.74081e+12   6.75291e+12   6.25036e+11  -8.13937e+31
M   0.0010   400.0   0.52733018   10.0000   0.81580   0.88932   0.92918   1169.33     22.13   9.3756121e+03   3.2206177e-01  5.05000e+10   6.61826e+11   3.62635e+12   3.35648e+11  -8.22825e+31
M   0.0010   400.0   0.52733018   20.0000   0.81477   0.88681   0.92656   1049.42     15.54   8.9676307e+03   3.2243645e-01  1.43210e+10   3.22907e+09   1.02838e+12   9.51847e+10  -8.29553e+31
M   0.0010   400.0   0.52733018  5.69e+01   0.81170   0.88374   0.92348    791.33      0.00   7.6241340e+03   3.2244000e-01  0.00000e+00   1.67179e+09   0.00000e+00   0.00000e+00  -8.29604e+31

M   0.0010   400.0   0.67196366    0.0010   0.91389   1.23825   1.32068   6563.86   1079.10   1.6520000e+04   3.0731000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -9.27590e+31
M   0.0010   400.0   0.67196366    0.0015   0.88845   1.01872   1.05716   3067.71    285.48   1.3209815e+04   3.1659000e-01  1.83596e+15   1.81102e+14   1.38567e+17   1.33231e+16  -1.13958e+32
M   0.0010   400.0   0.67196366    0.0020   0.88667   1.00639   1.04386   2814.02    228.19   1.2834185e+04   3.1724000e-01  7.46577e+14   1.81054e+14   5.63471e+16   5.41773e+15  -1.15440e+32
M   0.0010   400.0   0.67196366    0.0030   0.88520   0.99727   1.03420   2606.54    185.86   1.2503800e+04   3.1777800e-01  3.25462e+14   1.80958e+14   2.45639e+16   2.36180e+15  -1.16668e+32
M   0.0010   400.0   0.67196366    0.0050   0.88386   0.99013   1.02692   2413.11    152.76   1.2175420e+04   3.1826000e-01  1.47125e+14   1.80765e+14   1.11041e+16   1.06765e+15  -1.17779e+32
M   0.0010   400.0   0.67196366    0.0100   0.88249   0.98317   1.01981   2226.19    120.76   1.1837803e+04   3.1876214e-01  5.60978e+13   1.80285e+14   4.23392e+15   4.07088e+14  -1.18922e+32
M   0.0010   400.0   0.67196366    0.0200   0.88141   0.97633   1.01288   2060.13     97.45   1.1519637e+04   3.1915677e-01  2.24419e+13   1.79330e+14   1.69378e+15   1.62856e+14  -1.19822e+32
M   0.0010   400.0   0.67196366    0.0300   0.88086   0.97262   1.00913   1987.32     88.21   1.1374252e+04   3.1936033e-01  1.43443e+13   1.78376e+14   1.08262e+15   1.04093e+14  -1.20282e+32
M   0.0010   400.0   0.67196366    0.0500   0.88021   0.96781   1.00425   1898.61     77.75   1.1191908e+04   3.1959372e-01  7.82595e+12   1.76495e+14   5.90655e+14   5.67910e+13  -1.20820e+32
M   0.0010   400.0   0.67196366    0.1000   0.87944   0.96245   0.99883   1794.72     66.59   1.0970531e+04   3.1988154e-01  3.28092e+12   1.71870e+14   2.47624e+14   2.38088e+13  -1.21467e+32
M   0.0010   400.0   0.67196366    0.2000   0.87884   0.95850   0.99484   1712.04     58.46   1.0787792e+04   3.2009887e-01  1.21523e+12   1.63112e+14   9.17185e+13   8.81866e+12  -1.21964e+32
M   0.0010   400.0   0.67196366    0.5000   0.87828   0.95535   0.99164   1641.59     52.18   1.0627057e+04   3.2029948e-01  3.38572e+11   1.39641e+14   2.55534e+13   2.45694e+12  -1.22433e+32
M   0.0010   400.0   0.67196366    1.0000   0.87792   0.95339   0.98965   1593.83     48.21   1.0515235e+04   3.2043042e-01  1.80621e+11   1.07088e+14   1.36322e+13   1.31072e+12  -1.22728e+32
M   0.0010   400.0   0.67196366    2.0000   0.87743   0.95071   0.98693   1520.92     42.65   1.0339632e+04   3.2061353e-01  1.46340e+11   6.25637e+13   1.10449e+13   1.06196e+12  -1.23142e+32
M   0.0010   400.0   0.67196366    5.0000   0.87606   0.94537   0.98148   1354.03     31.88   9.9112178e+03   3.2110649e-01  1.29594e+11   1.24160e+13   9.78100e+12   9.40436e+11  -1.24278e+32
M   0.0010   400.0   0.67196366   10.0000   0.87459   0.94121   0.97720   1178.47     23.06   9.4042783e+03   3.2165125e-01  6.56647e+10   8.43629e+11   4.95597e+12   4.76513e+11  -1.25508e+32
M   0.0010   400.0   0.67196366   20.0000   0.87347   0.93868   0.97458   1054.33     16.12   8.9857913e+03   3.2205623e-01  1.81208e+10   4.10192e+09   1.36765e+12   1.31498e+11  -1.26440e+32
M   0.0010   400.0   0.67196366  5.54e+01   0.87012   0.93532   0.97122    805.79      0.00   7.7271879e+03   3.2206000e-01  0.00000e+00   2.13032e+09   0.00000e+00   0.00000e+00  -1.26447e+32

M   0.0010   400.0   0.85626648    0.0010   0.97842   1.27320   1.34824   6563.86   1103.80   1.6520000e+04   3.0639000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -1.47490e+32
M   0.0010   400.0   0.85626648    0.0015   0.95220   1.07122   1.10600   3109.87    301.64   1.3269421e+04   3.1587000e-01  2.51542e+15   2.30775e+14   1.98201e+17   1.92951e+16  -1.75529e+32
M   0.0010   400.0   0.85626648    0.0020   0.95022   1.05902   1.09287   2837.76    240.03   1.2870619e+04   3.1659000e-01  1.00460e+15   2.30713e+14   7.91564e+16   7.70595e+15  -1.77641e+32
M   0.0010   400.0   0.85626648    0.0030   0.94861   1.04980   1.08303   2624.86    193.73   1.2533859e+04   3.1717000e-01  4.22383e+14   2.30589e+14   3.32814e+16   3.23998e+15  -1.79364e+32
M   0.0010   400.0   0.85626648    0.0050   0.94723   1.04284   1.07593   2419.45    158.05   1.2186500e+04   3.1767182e-01  1.85381e+14   2.30344e+14   1.46070e+16   1.42201e+15  -1.80844e+32
M   0.0010   400.0   0.85626648    0.0100   0.94583   1.03619   1.06915   2225.69    124.37   1.1836879e+04   3.1817370e-01  6.94280e+13   2.29732e+14   5.47054e+15   5.32562e+14  -1.82333e+32
M   0.0010   400.0   0.85626648    0.0200   0.94470   1.03061   1.06347   2077.48    102.37   1.1553716e+04   3.1858386e-01  3.03299e+13   2.28512e+14   2.38983e+15   2.32652e+14  -1.83537e+32
M   0.0010   400.0   0.85626648    0.0300   0.94411   1.02689   1.05970   1993.81     91.33   1.1387354e+04   3.1879765e-01  1.82440e+13   2.27298e+14   1.43752e+15   1.39944e+14  -1.84166e+32
M   0.0010   400.0   0.85626648    0.0500   0.94345   1.02252   1.05528   1905.92     80.59   1.1207156e+04   3.1903825e-01  1.00489e+13   2.24902e+14   7.91797e+14   7.70822e+13  -1.84886e+32
M   0.0010   400.0   0.85626648    0.1000   0.94262   1.01766   1.05036   1805.74     69.40   1.0994433e+04   3.1933958e-01  4.41641e+12   2.19007e+14   3.47988e+14   3.38769e+13  -1.85771e+32
M   0.0010   400.0   0.85626648    0.2000   0.94195   1.01377   1.04642   1718.08     60.51   1.0801356e+04   3.1957688e-01  1.62250e+12   2.07798e+14   1.27844e+14   1.24457e+13  -1.86481e+32
M   0.0010   400.0   0.85626648    0.5000   0.94137   1.01068   1.04328   1641.35     53.55   1.0626509e+04   3.1978999e-01  4.14724e+11   1.77863e+14   3.26779e+13   3.18123e+12  -1.87105e+32
M   0.0010   400.0   0.85626648    1.0000   0.94102   1.00891   1.04148   1596.21     49.58   1.0520887e+04   3.1991967e-01  2.29633e+11   1.36735e+14   1.80938e+13   1.76145e+12  -1.87482e+32
M   0.0010   400.0   0.85626648    2.0000   0.94045   1.00646   1.03900   1525.22     44.12   1.0350154e+04   3.2012337e-01  2.13440e+11   7.97251e+13   1.68178e+13   1.63723e+12  -1.88096e+32
M   0.0010   400.0   0.85626648    5.0000   0.93905   1.00135   1.03377   1350.80     32.54   9.9025118e+03   3.2062528e-01  1.50885e+11   1.58094e+13   1.18889e+13   1.15739e+12  -1.89581e+32
M   0.0010   400.0   0.85626648   10.0000   0.93759   0.99758   1.02989   1185.11     23.91   9.4249188e+03   3.2114934e-01  8.39110e+10   1.07652e+12   6.61172e+12   6.43657e+11  -1.91141e+32
M   0.0010   400.0   0.85626648   20.0000   0.93638   0.99506   1.02728   1063.70     17.10   9.0200159e+03   3.2159823e-01  2.52798e+10   5.22897e+09   1.99191e+12   1.93914e+11  -1.92445e+32
M   0.0010   400.0   0.85626648  5.33e+01   0.93275   0.99143   1.02365    820.21      0.00   7.8271934e+03   3.2160000e-01  0.00000e+00   2.71462e+09   0.00000e+00   0.00000e+00  -1.92450e+32

M   0.0010   400.0   1.09111896    0.0010   1.04707   1.31139   1.37879   6563.86   1129.42   1.6520000e+04   3.0557000e-01  0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -2.32602e+32
M   0.0010   400.0   1.09111896    0.0015   1.02022   1.12781   1.15905   3138.40    314.78   1.3309309e+04   3.1526000e-01  3.25839e+15   2.94070e+14   2.69265e+17   2.69003e+16  -2.69565e+32
M   0.0010   400.0   1.09111896    0.0020   1.01814   1.11649   1.14693   2861.75    251.95   1.2907155e+04   3.1601000e-01  1.33215e+15   2.93992e+14   1.10086e+17   1.09979e+16  -2.72433e+32
M   0.0010   400.0   1.09111896    0.0030   1.01639   1.10758   1.13739   2646.68    203.12   1.2569441e+04   3.1664333e-01  5.59993e+14   2.93835e+14   4.62763e+16   4.62314e+15  -2.74841e+32
M   0.0010   400.0   1.09111896    0.0050   1.01489   1.10096   1.13063   2441.12    166.17   1.2224244e+04   3.1718000e-01  2.47759e+14   2.93520e+14   2.04741e+16   2.04543e+15  -2.76909e+32
M   0.0010   400.0   1.09111896    0.0100   1.01336   1.09461   1.12417   2242.48    131.13   1.1868062e+04   3.1773111e-01  9.40653e+13   2.92742e+14   7.77331e+15   7.76576e+14  -2.79015e+32
